,Predicted_Species
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,3
52,1
53,3
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,3
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,3
102,1
103,3
104,3
105,3
106,3
107,1
108,3
109,3
110,3
111,3
112,3
113,3
114,1
115,3
116,3
117,3
118,3
119,3
120,1
121,3
122,1
123,3
124,1
125,3
126,3
127,1
128,1
129,3
130,3
131,3
132,3
133,3
134,1
135,3
136,3
137,3
138,3
139,1
140,3
141,3
142,3
143,1
144,3
145,3
146,3
147,1
148,3
149,3
150,1
