,Predicted_censored
1,0
2,0
3,1
4,0
5,1
6,1
7,0
8,0
9,1
10,0
11,1
12,1
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,1
26,0
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,1
38,0
39,0
40,0
41,1
42,0
43,1
44,0
45,0
46,0
47,0
48,1
49,0
50,1
51,0
52,0
53,0
54,1
55,1
56,1
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,0
65,0
66,1
67,1
68,1
69,1
70,1
71,1
72,0
73,1
74,1
75,1
76,1
77,0
78,1
79,1
80,0
81,1
82,0
83,1
84,0
85,1
86,0
87,1
88,1
89,1
90,1
91,1
92,0
93,0
94,0
95,1
96,0
97,1
98,1
99,0
100,0
101,1
102,0
103,0
104,0
105,1
106,0
107,0
108,1
109,0
110,0
111,0
112,0
113,1
114,0
115,1
116,0
117,0
118,1
119,1
120,0
121,1
122,1
123,0
124,0
125,0
126,1
127,1
128,1
129,0
130,0
131,0
132,1
133,0
134,1
135,1
136,1
137,0
138,0
139,0
140,0
141,0
142,1
143,0
144,0
145,1
146,1
147,0
148,1
149,1
150,0
151,1
152,1
153,0
154,0
155,0
156,1
157,1
158,1
159,0
160,1
161,0
162,0
163,0
164,1
165,0
166,1
167,1
168,0
169,0
170,1
171,1
172,1
173,1
174,0
175,0
176,1
177,0
178,0
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,1
188,0
189,1
190,1
191,0
192,0
193,1
194,0
195,0
196,0
197,0
198,0
199,1
200,1
201,0
202,0
203,0
204,1
205,0
206,0
207,1
208,0
209,0
210,1
211,0
212,0
213,0
214,1
215,1
216,0
217,0
218,1
219,1
220,0
221,1
222,0
223,0
224,1
225,0
226,0
227,1
228,1
229,0
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,1
238,1
239,0
240,0
241,0
242,0
243,0
244,1
245,0
246,0
247,0
248,1
249,0
250,0
251,0
252,0
253,0
254,1
255,0
256,1
257,1
258,0
259,0
260,1
261,0
262,1
263,0
264,0
265,0
266,0
267,1
268,1
269,0
270,1
271,0
272,0
273,1
274,0
275,0
276,1
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,1
285,0
286,0
287,0
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,1
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,1
306,0
307,0
308,0
309,1
310,1
311,0
312,0
313,1
314,1
315,1
316,0
317,0
318,1
319,0
320,0
321,1
322,1
323,0
324,0
325,0
326,1
327,1
328,0
329,1
330,0
331,1
332,1
333,0
334,0
335,1
336,1
337,0
338,0
339,1
340,1
341,0
342,0
343,1
344,0
345,1
346,1
347,0
348,1
349,1
350,0
351,1
352,0
353,1
354,1
355,1
356,1
357,0
358,0
359,0
360,1
361,0
362,0
363,0
364,0
365,0
366,0
367,1
368,0
369,0
370,0
371,0
372,1
373,1
374,1
375,0
376,0
377,0
378,0
379,0
380,1
381,0
382,1
383,0
384,1
385,0
386,0
387,0
388,0
389,1
390,1
391,0
392,1
393,1
394,0
395,1
396,1
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,0
405,0
406,1
407,0
408,0
409,0
410,0
411,0
412,1
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,1
422,1
423,0
424,1
425,0
426,0
427,0
428,1
429,0
430,0
431,1
432,0
433,0
434,0
435,0
436,0
437,1
438,1
439,1
440,1
441,1
442,0
443,1
444,0
445,0
446,0
447,1
448,1
449,1
450,0
451,0
452,1
453,0
454,0
455,1
456,0
457,0
458,0
459,1
460,0
461,0
462,1
463,0
464,1
465,1
466,1
467,0
468,0
469,0
470,0
471,0
472,0
473,1
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,1
485,0
486,1
487,0
488,0
489,0
490,0
491,0
492,1
493,1
494,0
495,0
496,1
497,1
498,0
499,1
500,0
501,1
502,1
503,0
504,0
505,1
506,1
507,0
508,1
509,0
510,1
511,0
512,1
513,1
514,1
515,1
516,0
517,1
518,0
519,0
520,0
521,1
522,0
523,0
524,0
525,1
526,0
527,0
528,0
529,0
530,1
531,1
532,0
533,1
534,0
535,1
536,1
537,1
538,0
539,0
540,0
541,0
542,1
543,0
544,1
545,1
546,0
547,0
548,1
549,1
550,1
551,1
552,0
553,0
554,0
555,1
556,1
557,1
558,1
559,1
560,1
561,0
562,1
563,1
564,0
565,1
566,0
567,1
568,0
569,1
570,1
571,0
572,0
573,0
574,1
575,0
576,0
577,0
578,1
579,0
580,1
581,1
582,1
583,0
584,0
585,0
586,1
587,0
588,1
589,0
590,1
591,1
592,0
593,0
594,1
595,0
596,1
597,1
598,0
599,0
600,1
601,1
602,1
603,1
604,0
605,0
606,1
607,0
608,1
609,0
610,1
611,0
612,1
613,1
614,1
615,0
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,0
625,1
626,1
627,0
628,1
629,0
630,0
631,0
632,0
633,1
634,1
635,0
636,1
637,0
638,0
639,0
640,1
641,0
642,1
643,0
644,0
645,1
646,1
647,0
648,1
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,1
664,0
665,0
666,1
667,0
668,0
669,1
670,0
671,0
672,0
673,1
674,0
675,0
676,0
677,1
678,0
679,0
680,1
681,1
682,0
683,1
684,1
685,1
686,0
